"Tarih","Toplam Test Sayısı","Toplam Vaka Sayısı","Toplam Vefat Sayısı","Hastalarda Zatürre Oranı (%)","Ağır Hasta Sayısı","Toplam İyileşen Hasta Sayısı","Bugünkü Vaka Sayısı","Bugünkü Hasta Sayısı","Bugünkü Test Sayısı","Bugünkü Vefat Sayısı","Bugünkü İyileşen Sayısı"
"   23 NİSAN 2021  "," 45.342.795 "," 4.550.820 "," 37.672 "," 2,9 "," 3.475 "," 3.970.111 "," 49.438 "," 3.089 "," 302.091 "," 343 "," 60.176 "
"   22 NİSAN 2021  "," 45.040.704 "," 4.501.382 "," 37.329 "," 2,9 "," 3.463 "," 3.909.935 "," 54.791 "," 3.128 "," 312.109 "," 354 "," 65.593 "
"   21 NİSAN 2021  "," 44.728.595 "," 4.446.591 "," 36.975 "," 2,9 "," 3.398 "," 3.844.342 "," 61.967 "," 2.932 "," 318.839 "," 362 "," 52.213 "
"   20 NİSAN 2021  "," 44.409.756 "," 4.384.624 "," 36.613 "," 2,9 "," 3.375 "," 3.792.129 "," 61.028 "," 2.895 "," 322.128 "," 346 "," 55.592 "
"   19 NİSAN 2021  "," 44.087.628 "," 4.323.596 "," 36.267 "," 2,9 "," 3.319 "," 3.736.537 "," 55.149 "," 2.862 "," 318.869 "," 341 "," 48.947 "
"   18 NİSAN 2021  "," 43.768.759 "," 4.268.447 "," 35.926 "," 3,3 "," 3.275 "," 3.687.590 "," 55.802 "," 3.101 "," 301.243 "," 318 "," 43.856 "
"   17 NİSAN 2021  "," 43.467.516 "," 4.212.645 "," 35.608 "," 3,3 "," 3.240 "," 3.643.734 "," 62.606 "," 2.973 "," 319.316 "," 288 "," 52.184 "
"   16 NİSAN 2021  "," 43.148.200 "," 4.150.039 "," 35.320 "," 3,3 "," 3.205 "," 3.591.550 "," 63.082 "," 2.915 "," 320.078 "," 289 "," 56.510 "
"   15 NİSAN 2021  "," 42.828.122 "," 4.086.957 "," 35.031 "," 3,3 "," 3.080 "," 3.535.040 "," 61.400 "," 2.845 "," 318.217 "," 297 "," 54.894 "
"   14 NİSAN 2021  "," 42.509.905 "," 4.025.557 "," 34.734 "," 3,3 "," 3.018 "," 3.480.146 "," 62.797 "," 2.802 "," 310.420 "," 279 "," 55.413 "
"   13 NİSAN 2021  "," 42.199.485 "," 3.962.760 "," 34.455 "," 3,3 "," 2.951 "," 3.424.733 "," 59.187 "," 2.723 "," 306.563 "," 273 "," 52.104 "
"   12 NİSAN 2021  "," 41.892.922 "," 3.903.573 "," 34.182 "," 3,3 "," 2.891 "," 3.372.629 "," 54.562 "," 2.671 "," 301.068 "," 243 "," 41.218 "
"   11 NİSAN 2021  "," 41.591.854 "," 3.849.011 "," 33.939 "," 3,1 "," 2.824 "," 3.331.411 "," 50.678 "," 2.548 "," 294.274 "," 237 "," 30.194 "
